occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures
0.522,0.789,0.277,0.201,0.546,0,0,0,0,0,0,0
0.667,0.847,0.459,0.14,0.683,0.675,0.533,0,0,0,0,0.0451
0.667,0.826,0.592,0.14,0.587,0.581,0,0,0,0,0,0
0.689,0.705,0.398,0.246,0.31,0.698,0.8,0,0,0,0,0
1,0.692,0.375,0.22,0.291,0.419,0,0,0,0,0,0
1,0.627,0.135,0.281,0.156,0,0,0,0,0,0,0
0.917,0.618,0.0655,0.271,0.0967,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.565,0.0163,0.421,0.0509,0,0,0,0,0,0,0
1,0.573,0.0189,0.402,0.0649,0,0,0,0,0,0,0
1,0.707,0.0675,0.14,0.297,0,0,0,0,0,0,0.0451
0.728,0.662,0.056,0.255,0.218,0,0,0,0,0,0,0.451
0.644,0.651,0.0585,0.281,0.2,0,0,0,0,0,0,0
0.333,0.651,0.0654,0.281,0.199,0,0,0,0,0,0,0.0902
0.333,0.651,0.0716,0.281,0.194,0,0,0,0,0,0,0.0451
0.333,0.651,0.0762,0.281,0.188,0,0,0,0,0,0,0.0451
0.333,0.651,0.0828,0.281,0.186,0,0,0,0,0,0,0.0902
0.333,0.651,0.0891,0.281,0.188,0,0,0,0,0,0,0.0902
0.333,0.658,0.0965,0.281,0.202,0,0,0,0,0,0,0.18
0.333,0.675,0.113,0.281,0.24,0,0,0,0,0,0,0.0451
